ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     8 May 25 01:33:47 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
FO-29                9 May 25 12:11:34   9 May 25 12:26:32    17ø
FO-29                9 May 25 20:33:45   9 May 25 20:35:47     0ø
FO-29                9 May 25 22:10:51   9 May 25 22:26:36    58ø
FO-29                9 May 25 23:58:20  10 May 25 00:09:36     9ø
FO-29               10 May 25 09:31:30  10 May 25 09:46:56    16ø
FO-29               10 May 25 11:15:11  10 May 25 11:33:27    54ø
FO-29               10 May 25 13:04:59  10 May 25 13:11:12     2ø
FO-29               10 May 25 21:17:28  10 May 25 21:30:15    15ø
FO-29               10 May 25 23:00:51  10 May 25 23:16:14    39ø
FO-29               11 May 25 10:20:00  11 May 25 10:38:28    48ø
FO-29               11 May 25 12:05:58  11 May 25 12:21:37    19ø
FO-29               11 May 25 22:05:38  11 May 25 22:21:07    51ø
FO-29               11 May 25 23:52:43  12 May 25 00:04:24    10ø
FO-29               12 May 25 09:26:15  12 May 25 09:41:32    15ø
FO-29               12 May 25 11:09:43  12 May 25 11:28:21    59ø
FO-29               12 May 25 12:58:47  12 May 25 13:06:56     3ø

GO-32                8 May 25 02:07:32   8 May 25 02:14:38     3ø
GO-32                8 May 25 03:42:27   8 May 25 03:57:42    74ø
GO-32                8 May 25 05:25:16   8 May 25 05:34:55     6ø
GO-32                8 May 25 14:34:17   8 May 25 14:41:22     3ø
GO-32                8 May 25 16:10:15   8 May 25 16:25:34    80ø
GO-32                8 May 25 17:52:22   8 May 25 18:01:53     7ø
GO-32                9 May 25 03:19:18   9 May 25 03:34:04    40ø
GO-32                9 May 25 05:00:11   9 May 25 05:12:49    15ø
GO-32                9 May 25 15:46:59   9 May 25 16:01:55    43ø
GO-32                9 May 25 17:27:43   9 May 25 17:40:05    14ø
GO-32               10 May 25 02:56:33  10 May 25 03:10:11    22ø
GO-32               10 May 25 04:35:50  10 May 25 04:50:06    28ø
GO-32               10 May 25 15:23:59  10 May 25 15:37:54    23ø
GO-32               10 May 25 17:03:36  10 May 25 17:17:39    26ø
GO-32               11 May 25 02:34:16  11 May 25 02:45:57    12ø
GO-32               11 May 25 04:11:56  11 May 25 04:27:02    52ø
GO-32               11 May 25 15:01:25  11 May 25 15:13:23    12ø
