ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     6 Jun 25 17:53:18 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
SO-50               11 Jun 25 10:11:53  11 Jun 25 10:16:45     2ø

CO-55               Up Now!              6 Jun 25 18:06:33    44ø
CO-55                6 Jun 25 19:32:33   6 Jun 25 19:44:30    13ø
CO-55                7 Jun 25 05:01:05   7 Jun 25 05:15:02    24ø
CO-55                7 Jun 25 06:40:39   7 Jun 25 06:54:51    26ø
CO-55                7 Jun 25 17:28:47   7 Jun 25 17:42:53    26ø
CO-55                7 Jun 25 19:08:39   7 Jun 25 19:22:24    23ø
CO-55                8 Jun 25 04:38:59   8 Jun 25 04:51:09    13ø
CO-55                8 Jun 25 06:16:58   8 Jun 25 06:32:05    47ø
CO-55                8 Jun 25 17:06:23   8 Jun 25 17:18:46    14ø
CO-55                8 Jun 25 18:45:04   8 Jun 25 18:59:52    42ø
CO-55                9 Jun 25 04:17:33   9 Jun 25 04:26:44     6ø
CO-55                9 Jun 25 05:53:39   9 Jun 25 06:09:03    87ø
CO-55                9 Jun 25 07:37:33   9 Jun 25 07:45:26     4ø
CO-55                9 Jun 25 16:44:38   9 Jun 25 16:53:55     6ø
CO-55                9 Jun 25 18:21:44   9 Jun 25 18:36:58    78ø
CO-55                9 Jun 25 20:04:46   9 Jun 25 20:12:12     4ø
CO-55               10 Jun 25 03:58:38  10 Jun 25 04:00:06     0ø
CO-55               10 Jun 25 05:30:39  10 Jun 25 05:45:47    52ø
CO-55               10 Jun 25 07:12:18  10 Jun 25 07:24:02    11ø
CO-55               10 Jun 25 17:58:37  10 Jun 25 18:13:44    57ø
CO-55               10 Jun 25 19:39:59  10 Jun 25 19:51:09    10ø
CO-55               11 Jun 25 05:07:59  11 Jun 25 05:22:18    29ø
CO-55               11 Jun 25 06:48:00  11 Jun 25 07:01:47    21ø

CO-57                6 Jun 25 18:16:35   6 Jun 25 18:31:51    87ø
CO-57                6 Jun 25 19:59:11   6 Jun 25 20:07:43     5ø
CO-57                7 Jun 25 05:25:52   7 Jun 25 05:40:55    46ø
CO-57                7 Jun 25 07:07:13   7 Jun 25 07:19:29    13ø
CO-57                7 Jun 25 17:54:09   7 Jun 25 18:09:15    51ø
